code_module,n_students,withdrawal_rate,recall,f1,pr_auc
CCC,824,0.42961165048543687,0.844632768361582,0.7301587301587301,0.8118150374560923
BBB,1556,0.30205655526992287,0.6510638297872341,0.7010309278350515,0.7811643179908013
DDD,1244,0.34565916398713825,0.7069767441860465,0.6652078774617067,0.7478527634534728
FFF,1603,0.3025577043044292,0.6391752577319587,0.6431535269709544,0.7431057504357407
EEE,567,0.24691358024691357,0.5642857142857143,0.6007604562737643,0.6432181445569349
AAA,163,0.147239263803681,0.25,0.3157894736842105,0.39552496755682526
GGG,514,0.10116731517509728,0.15384615384615385,0.23880597014925373,0.3632959467154403
