model,fpr,tpr,threshold,roc_auc
baseline_dummy,0.0,0.0,inf,0.5
baseline_dummy,1.0,1.0,0.0,0.5
logistic_regression,0.0,0.0,inf,0.8258292765251825
logistic_regression,0.0,0.0005115089514066496,0.9958115895812717,0.8258292765251825
logistic_regression,0.0,0.009207161125319692,0.9880241770779424,0.8258292765251825
logistic_regression,0.00022143489813994686,0.009207161125319692,0.9879299407601204,0.8258292765251825
logistic_regression,0.00022143489813994686,0.011764705882352941,0.9863846770432241,0.8258292765251825
logistic_regression,0.0004428697962798937,0.011764705882352941,0.9863638861352414,0.8258292765251825
logistic_regression,0.0004428697962798937,0.02608695652173913,0.9815252161511167,0.8258292765251825
logistic_regression,0.0006643046944198405,0.02608695652173913,0.9814859390776183,0.8258292765251825
logistic_regression,0.0006643046944198405,0.04040920716112532,0.9763056030446865,0.8258292765251825
logistic_regression,0.0008857395925597874,0.04040920716112532,0.9763030202741111,0.8258292765251825
logistic_regression,0.0008857395925597874,0.04501278772378517,0.9751303124655956,0.8258292765251825
logistic_regression,0.0011071744906997344,0.04501278772378517,0.9748865759102538,0.8258292765251825
logistic_regression,0.0011071744906997344,0.04757033248081841,0.973155334661519,0.8258292765251825
logistic_regression,0.001328609388839681,0.04757033248081841,0.9729218432531971,0.8258292765251825
logistic_regression,0.001328609388839681,0.05677749360613811,0.9711160143786095,0.8258292765251825
logistic_regression,0.001550044286979628,0.05677749360613811,0.9709146731527629,0.8258292765251825
logistic_regression,0.001550044286979628,0.059846547314578,0.9699910141950909,0.8258292765251825
logistic_regression,0.001771479185119575,0.059846547314578,0.9699496508943579,0.8258292765251825
logistic_regression,0.001771479185119575,0.06547314578005115,0.9681771143083566,0.8258292765251825
logistic_regression,0.001992914083259522,0.06547314578005115,0.9679903669874675,0.8258292765251825
logistic_regression,0.001992914083259522,0.0659846547314578,0.9677322954402537,0.8258292765251825
logistic_regression,0.0022143489813994687,0.0659846547314578,0.9677106857206527,0.8258292765251825
logistic_regression,0.0022143489813994687,0.0670076726342711,0.9674839843256853,0.8258292765251825
logistic_regression,0.002435783879539415,0.0670076726342711,0.9674423769769125,0.8258292765251825
logistic_regression,0.002435783879539415,0.06956521739130435,0.9667919341283071,0.8258292765251825
logistic_regression,0.002657218777679362,0.06956521739130435,0.9667878957646321,0.8258292765251825
logistic_regression,0.002657218777679362,0.08337595907928388,0.9632108846686971,0.8258292765251825
logistic_regression,0.002878653675819309,0.08337595907928388,0.9629136755192437,0.8258292765251825
logistic_regression,0.002878653675819309,0.08746803069053709,0.9620474471949514,0.8258292765251825
logistic_regression,0.003100088573959256,0.08746803069053709,0.9619199900544907,0.8258292765251825
logistic_regression,0.003100088573959256,0.09207161125319693,0.9605457677539754,0.8258292765251825
logistic_regression,0.003321523472099203,0.09207161125319693,0.9604671505534803,0.8258292765251825
logistic_regression,0.003321523472099203,0.09360613810741689,0.9598931702333955,0.8258292765251825
logistic_regression,0.00354295837023915,0.09360613810741689,0.9598081220662604,0.8258292765251825
logistic_regression,0.00354295837023915,0.09411764705882353,0.9597633922720257,0.8258292765251825
logistic_regression,0.003985828166519044,0.09411764705882353,0.9593597815071127,0.8258292765251825
logistic_regression,0.003985828166519044,0.10383631713554987,0.9555583100755685,0.8258292765251825
logistic_regression,0.00420726306465899,0.10383631713554987,0.955334256418448,0.8258292765251825
logistic_regression,0.00420726306465899,0.10690537084398977,0.9540949695188579,0.8258292765251825
logistic_regression,0.0044286979627989375,0.10690537084398977,0.9540218542662308,0.8258292765251825
logistic_regression,0.0044286979627989375,0.10946291560102302,0.9532337460121683,0.8258292765251825
logistic_regression,0.004650132860938884,0.10946291560102302,0.9530454132549597,0.8258292765251825
logistic_regression,0.004650132860938884,0.11560102301790282,0.9509414509439563,0.8258292765251825
logistic_regression,0.00487156775907883,0.11560102301790282,0.950938868988407,0.8258292765251825
logistic_regression,0.00487156775907883,0.11611253196930946,0.9508365112140031,0.8258292765251825
logistic_regression,0.005093002657218778,0.11611253196930946,0.9508250057353691,0.8258292765251825
logistic_regression,0.005093002657218778,0.1289002557544757,0.9466860014290238,0.8258292765251825
logistic_regression,0.005314437555358724,0.1289002557544757,0.9465372968872547,0.8258292765251825
logistic_regression,0.005314437555358724,0.13043478260869565,0.9463605100931587,0.8258292765251825
logistic_regression,0.005535872453498672,0.13043478260869565,0.9462838101055355,0.8258292765251825
logistic_regression,0.005535872453498672,0.1411764705882353,0.9436872742435274,0.8258292765251825
logistic_regression,0.005757307351638618,0.1411764705882353,0.9435195560427606,0.8258292765251825
logistic_regression,0.005757307351638618,0.16828644501278772,0.9369611231970533,0.8258292765251825
logistic_regression,0.0059787422497785654,0.16828644501278772,0.9369586851127547,0.8258292765251825
logistic_regression,0.0059787422497785654,0.17391304347826086,0.9358989686342934,0.8258292765251825
logistic_regression,0.006200177147918512,0.17391304347826086,0.9358953818749225,0.8258292765251825
logistic_regression,0.006200177147918512,0.17698209718670077,0.9353280506256334,0.8258292765251825
logistic_regression,0.006421612046058458,0.17698209718670077,0.9350149847508196,0.8258292765251825
logistic_regression,0.006421612046058458,0.19028132992327365,0.9319946054669194,0.8258292765251825
logistic_regression,0.006864481842338352,0.19028132992327365,0.9318491916264661,0.8258292765251825
