model,cv_accuracy_mean,cv_accuracy_std,train_accuracy_mean,cv_precision_mean,cv_precision_std,train_precision_mean,cv_recall_mean,cv_recall_std,train_recall_mean,cv_f1_mean,cv_f1_std,train_f1_mean,cv_roc_auc_mean,cv_roc_auc_std,train_roc_auc_mean,cv_pr_auc_mean,cv_pr_auc_std,train_pr_auc_mean
gradient_boosting,0.7835161569933347,0.005293105272138777,0.8122559904836397,0.6612742885673053,0.008719840460105424,0.7052034937864572,0.6365094900491967,0.010739084359562112,0.6908000992561366,0.6486319544957561,0.009029554338117123,0.6979073989121318,0.8144883102393911,0.006860712731638394,0.8711749313020778,0.7377406631765941,0.008526645264321902,0.789139685905198
lightgbm,0.7839375246514513,0.007080696564949303,0.9068122630051573,0.6661117953629832,0.011231554973135527,0.834133175149454,0.6250478589795039,0.014637604974808016,0.8777282891141669,0.64490242470237,0.012621790792033322,0.8553622152954002,0.809951112115377,0.007015402734124311,0.9645217425412629,0.7362242559447582,0.01013485901554251,0.9149677694996681
random_forest,0.7940054556994742,0.004160076895819634,0.8791344466164468,0.7065013779114014,0.007548773365279352,0.826749002172271,0.5882214146638723,0.008725489404636662,0.7780758435842247,0.6419431780184948,0.007820070269250676,0.8016719139279296,0.813427818151973,0.005763457762765403,0.9566052743158397,0.7342905754231877,0.007979469233936103,0.8950430024639673
lasso,0.7737923792511117,0.0042146526973658345,0.773916643290528,0.633601561389139,0.005729822283483308,0.6334591576749876,0.6626028893744148,0.009375218462586325,0.6642178978888554,0.6477728454083226,0.007438066609781345,0.6484721464539096,0.8119982758266575,0.005795143868955492,0.8154036090305322,0.7225900144889121,0.009043756894760356,0.7252314119206072
ridge,0.770844842227782,0.004311706001938154,0.7726724858596343,0.6276754667629337,0.005929822956285446,0.6302714348080116,0.6638232933517635,0.010210562375828456,0.6674491730514013,0.6452302200202942,0.007650376029455568,0.6483267942864742,0.812300255318559,0.0053985205726439205,0.8164920507194374,0.7222463738768765,0.009031817931230953,0.7262908023858162
logistic_regression,0.7707682872010545,0.004502786266068599,0.7725767801735756,0.6276511718100782,0.0063218652422339,0.6302119390528965,0.6633354884737148,0.009975396200602534,0.6669614146415812,0.644989162097397,0.007775190638775288,0.648065584518147,0.8123196880851363,0.005394218575253241,0.8165044916083961,0.7217048727219166,0.009112168635108811,0.7262300165466965
decision_tree,0.7719161290965364,0.0027463556340658704,0.7894208114612549,0.6435371266042407,0.00582713787675836,0.6711785733889641,0.6133386097115083,0.008636674951755586,0.6459275337266405,0.6280235733993338,0.00484261276608124,0.658246983475627,0.7887290608968003,0.004447921063002563,0.8263835918593525,0.7040558653340441,0.006687124160586972,0.7432463170955413
baseline_dummy,0.6860500770971388,2.8482865446566306e-05,0.686050073008298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.3139499229028611,2.848286544658851e-05,0.313949926991702
