model,hyperparameters
baseline_dummy,"{""strategy"": ""most_frequent""}"
logistic_regression,"{""solver"": ""lbfgs"", ""C"": 1000000.0, ""class_weight"": ""balanced"", ""max_iter"": 3000}"
lasso,"{""solver"": ""liblinear"", ""penalty"": ""l1"", ""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 3000}"
ridge,"{""solver"": ""lbfgs"", ""penalty"": ""l2"", ""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 3000}"
decision_tree,"{""max_depth"": 8, ""min_samples_leaf"": 40, ""class_weight"": ""balanced""}"
random_forest,"{""n_estimators"": 400, ""min_samples_leaf"": 8, ""class_weight"": ""balanced_subsample"", ""max_depth"": null}"
gradient_boosting,"{""max_iter"": 400, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31, ""class_weight"": ""balanced""}"
lightgbm,"{""n_estimators"": 500, ""learning_rate"": 0.05, ""num_leaves"": 31, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""class_weight"": ""balanced""}"
