feature_set,n_features,cv_f1_mean,cv_pr_auc_mean,test_f1,test_pr_auc
full,66,0.6486319544957561,0.7377406631765941,0.6663280853224988,0.7511951179286056
demographics_engagement,42,0.6440113153050376,0.7316286597095722,0.6682063125481139,0.7445666549363175
engagement_assessment,51,0.6364939962125945,0.7049069077250334,0.6509026188660056,0.7126604358043566
engagement_only,28,0.6209014613586771,0.6870802444747376,0.6295821584209177,0.6978868204680052
assessment_only,24,0.5802771948079031,0.5700566819143736,0.5827650340979541,0.5688755613310215
demographics_only,14,0.5099305883157985,0.49962677968873354,0.5062275701921047,0.47364280703513567
